Date,Conservative,Balanced,Aggressive
2020-08-12,-0.030449717608620697,-0.013446708014076214,-0.004884435214852045
2020-08-13,-0.03118094662985349,-0.013263962510481897,-0.00423268279145772
2020-08-14,-0.034016401817391295,-0.014796031621749584,-0.005094657758044185
2020-08-17,-0.02687645089719437,-0.007480173199804208,0.0
2020-08-18,-0.020286093128515037,-0.0014426415645634183,0.0
2020-08-19,-0.031008587809822852,-0.009521775735474636,-0.00666395137892517
2020-08-20,-0.023341634513595944,-0.001690832248550156,0.0
2020-08-21,-0.020610523739317377,0.0,0.0
2020-08-24,-0.01991817806900753,0.0,0.0
2020-08-25,-0.02197397867717077,0.0,0.0
2020-08-26,-0.01748706314043047,0.0,0.0
2020-08-27,-0.02799108422534058,-0.004618220425881336,-0.001581843220364143
2020-08-28,-0.02322429560222028,0.0,0.0
2020-08-31,-0.019437741052295232,0.0,0.0
2020-09-01,-0.010073229108636839,0.0,0.0
2020-09-02,-0.004159975994815435,0.0,0.0
2020-09-03,-0.016262410888649548,-0.029217761580430435,-0.03775014684822253
2020-09-04,-0.027976509577020026,-0.03968819424573211,-0.04758864190369194
2020-09-08,-0.03534852091165819,-0.06303539427400984,-0.07870969260084304
2020-09-09,-0.028127905006904985,-0.04697096459254446,-0.058464180431434754
2020-09-10,-0.03159714996343177,-0.058628577161554896,-0.07405924133251163
2020-09-11,-0.031148813321800195,-0.06000056800161879,-0.07629783281875102
2020-09-14,-0.025409379052023895,-0.049406554722872364,-0.06341831055031
2020-09-15,-0.024694577577809018,-0.0441332733782519,-0.05596844300020121
2020-09-16,-0.027927572005030266,-0.05052335442596534,-0.06387022225350092
2020-09-17,-0.030737847715427313,-0.058254495049653854,-0.07395073482250925
2020-09-18,-0.035458606356938094,-0.06665891105514798,-0.0840920961212317
2020-09-21,-0.03880220335719187,-0.07107023359155196,-0.08899798205486453
2020-09-22,-0.03637044552567936,-0.06270569850100938,-0.07784570781073752
2020-09-23,-0.047301067193538215,-0.08176022217997292,-0.10073573477579212
2020-09-24,-0.04381648951230843,-0.078453762167635,-0.09752310513594487
2020-09-25,-0.03904674906741201,-0.06632942608040715,-0.08196384770456644
2020-09-28,-0.033292969952754214,-0.05390123503544986,-0.0663821332754867
2020-09-29,-0.03259375368290118,-0.05622602726569903,-0.07016096025642948
2020-09-30,-0.03626234517121152,-0.053800538566440514,-0.06481338145407889
2020-10-01,-0.030980973439825532,-0.04570891435114577,-0.0553796678056897
2020-10-02,-0.037529722445149516,-0.058184804709845994,-0.07071192814639593
2020-10-05,-0.04052859876328618,-0.04870017269495919,-0.05522646995293401
2020-10-06,-0.04464039430895639,-0.05929643671976759,-0.06898742002088709
2020-10-07,-0.043231540511287636,-0.04927906087740119,-0.05480262726390739
2020-10-08,-0.037762753596839005,-0.04302584463156445,-0.04817862237407633
2020-10-09,-0.03116921943699913,-0.03351866718847696,-0.03725572333919369
2020-10-12,-0.024073974899125883,-0.018010153959169717,-0.01760823772613218
2020-10-13,-0.024927025550456783,-0.020721862018616477,-0.021248113462615792
2020-10-14,-0.025248284291002454,-0.024885963471463213,-0.02732967362165961
2020-10-15,-0.026274149947556724,-0.02731234999648291,-0.030448294782879803
2020-10-16,-0.028954141690909374,-0.03002488834658268,-0.03316973286417724
2020-10-19,-0.035229087117950364,-0.0413584872610645,-0.0469911606621255
2020-10-20,-0.03790903899035125,-0.040566591876862734,-0.0444866574511017
2020-10-21,-0.03855993983152872,-0.041455990206272664,-0.045492078689365
2020-10-22,-0.04439106627784062,-0.04229535866144174,-0.0438512884091381
2020-10-23,-0.040836366213217956,-0.03935959826070112,-0.04123315613178835
2020-10-26,-0.0414549078778742,-0.049043507902436945,-0.0554215475927996
2020-10-27,-0.0376470995535132,-0.04660081134396654,-0.053658240417425174
2020-10-28,-0.050635105139446246,-0.07214718678452126,-0.08530818851093125
2020-10-29,-0.052440120362065135,-0.06569359951643483,-0.07489557178355488
2020-10-30,-0.060628398336233014,-0.0781158012097134,-0.08934823984063422
2020-11-02,-0.05297228276666499,-0.07109102109942012,-0.0826504776677004
2020-11-03,-0.04966149547771559,-0.06026063876308918,-0.0682105825586492
2020-11-04,-0.03097033613847111,-0.03525070478478298,-0.04017621653257364
2020-11-05,-0.019367846173474423,-0.01762641849823654,-0.019620890425783855
2020-11-06,-0.024985775849388436,-0.019730551587346046,-0.019962442152417603
2020-11-09,-0.043405849993184975,-0.02927251734581693,-0.025014517194272834
2020-11-10,-0.04752456830003826,-0.03585715354349672,-0.032835843697038625
2020-11-11,-0.043084287253099096,-0.026243113698740994,-0.02062397173403152
2020-11-12,-0.03608791503888953,-0.02748850532351632,-0.026083133151352578
2020-11-13,-0.03189734529760546,-0.019138026766455374,-0.015656347022680706
2020-11-16,-0.029899053383632967,-0.012421370856592118,-0.006561508612209721
2020-11-17,-0.028796007405974655,-0.014558829798294148,-0.010351512031559817
2020-11-18,-0.03155623408165442,-0.021480573008685,-0.01937213159320339
2020-11-19,-0.02785442937323157,-0.016712239014307295,-0.01407840769035329
2020-11-20,-0.024950840733036328,-0.019381449874585566,-0.01956531590904409
2020-11-23,-0.029852655550382856,-0.0198497691461339,-0.017803218505973106
2020-11-24,-0.03316480136624167,-0.012854305795280019,-0.005611472034196319
2020-11-25,-0.03444794539819729,-0.01229701812714179,-0.004109551338658202
2020-11-27,-0.030294544918215593,-0.007551487929715717,0.0
2020-11-30,-0.03285510293733829,-0.00961178424986786,-0.0017936833324024848
2020-12-01,-0.0325565831836907,-0.0023058216798689246,0.0
2020-12-02,-0.034408838704500844,-0.0019147731445818827,0.0
2020-12-03,-0.028910991368686356,0.0,0.0
2020-12-04,-0.034513208527717665,0.0,0.0
2020-12-07,-0.02712867413961295,0.0,0.0
2020-12-08,-0.023253000273142366,0.0,0.0
2020-12-09,-0.03216962202632456,-0.012750096792656485,-0.014560697202107842
2020-12-10,-0.027925210006188306,-0.010128638073236496,-0.012796538598801033
2020-12-11,-0.026286988214130447,-0.01036586624874214,-0.013983280743907756
2020-12-14,-0.028874211765120283,-0.011077767043009334,-0.013737270932633994
2020-12-15,-0.024118588209993796,-0.0018372319499909695,-0.002328618821674122
2020-12-16,-0.023496719211702044,0.0,0.0
2020-12-17,-0.021003710495527184,0.0,0.0
2020-12-18,-0.02388069440452678,-0.0032729783976203075,-0.0034401137593205178
2020-12-21,-0.02344532068321581,-0.004783612880179922,-0.005927930885661903
2020-12-22,-0.02253281422641329,-0.004402013030801677,-0.005820626743691881
2020-12-23,-0.024926387727387644,-0.00626218940490697,-0.00738966675444197
2020-12-24,-0.021030921974031003,-0.002217804562489434,-0.003312735418638635
2020-12-28,-0.01885464307498863,0.0,0.0
2020-12-29,-0.019050071936606572,-0.0003844211291015309,-0.0004770394873403472
2020-12-30,-0.01620422548241829,0.0,0.0
2020-12-31,-0.013513327546522569,0.0,0.0
2021-01-04,-0.013795133093124634,-0.007696673463071679,-0.011402177273255765
