Parametric Final Value,Bootstrap Final Value
15924.950518673588,9519.023414674006
13742.627741865454,12826.651931441524
10794.943528671745,10016.041358681794
11005.004274978108,14594.464201771953
13448.263039644857,12144.63112083213
13556.626904627774,13234.820125209239
10620.374530505293,12038.847953430917
15242.359433415828,14081.710936877005
8482.525152925256,13999.295516649256
15919.494250147822,11163.554105235433
12496.822257084423,14603.343253821951
10485.384399238415,10412.013557416953
11887.215669643021,9956.552834836957
11182.926584154966,12028.655755708629
12340.558863248294,10739.95109028383
11430.240473897926,11539.928199730217
11582.969916279671,12234.5081943676
9914.836049102465,10316.924204813538
10894.450366911637,11033.546947677965
11887.269243055387,11648.648103769592
13964.912088404384,12034.092324261383
11377.620028548869,8931.3298174337
9459.779958818908,11040.703402466963
9361.14611638009,15280.889398400475
12186.062668825985,6096.737136135179
12163.90369452948,12364.113678584341
13833.95153741118,10739.60447529164
9925.797155925673,11201.070116328146
14472.817865629195,10862.792698100095
12373.25359115073,10408.149331445546
9523.488477225372,17016.542366528178
11967.090042443933,9412.4883667902
7803.058312684262,10896.789291557665
8306.273551590086,11826.592847388507
14371.800675096889,14045.747132117865
9525.143851470822,11697.213211822776
11367.354623743378,14714.163809737609
11954.15196862879,8341.52266154855
12557.137384211534,11780.318040127984
10412.20128731596,13074.883324020568
11263.381837224435,10712.745685424743
12790.807739830037,10886.225732826366
11329.67785280208,12807.876519769845
11843.120999394581,15702.09941934409
13659.309930578569,11485.54303744459
14544.18140810766,11947.1325987275
10694.377945966913,8421.047371328143
12629.642480541388,13889.596890021332
8954.891352465293,12411.558242634297
15137.42214378067,12117.111304071974
13879.49153870263,10584.558178403537
13412.777466751795,9248.985898278435
9896.25611532583,11672.649869913539
13652.684855694792,11467.49435847203
10190.001885425216,11697.018194763083
9257.482819430483,11791.786332922751
11223.61272949872,11384.623498025228
10275.085420506002,12326.044187211595
9535.62716305961,12052.78640527063
13211.199183817233,11708.047977178841
11057.596004083884,13541.976923485574
12497.387506603223,9552.19677430105
13079.68450790507,9931.507223917011
12239.692071285166,11521.523684087831
12446.863717288303,9916.708045682653
12833.072154821773,11467.60702540419
15417.999770230208,10434.211588325672
9190.62981669745,9609.14267247022
16426.938197543004,13208.41986587758
12442.997706425022,10950.037830946612
11656.407893355115,11266.034778183473
13239.395969784118,14859.947897983116
10040.882900301234,14490.639620835373
13205.088877349124,10968.600712148651
12738.356123246795,11306.699575326975
11107.212141655267,12272.162374045785
14653.699118022028,10341.207700438961
10673.735325279715,12742.203578861316
11079.828277446775,11918.234487437603
14047.183238387504,11264.944165052599
10314.103775115318,13403.296576284745
10330.060950132964,11306.021328486471
10986.982012918084,11421.559693088839
9838.44499967714,13383.032912503139
12993.679812345274,8365.537544212091
11021.072328791763,9657.603182773899
