Date,Portfolio
2019-09-05,0.6462609648872649
2019-09-06,0.6466663702355697
2019-09-09,0.6452298229877724
2019-09-10,0.6449984246759035
2019-09-11,0.6452788816370962
2019-09-12,0.6444807664006171
2019-09-13,0.6440258958861479
2019-09-16,0.6432884015820531
2019-09-17,0.6436527460129072
2019-09-18,0.6452770500536222
2019-09-19,0.6433806610037281
2019-09-20,0.6448866584340066
2019-09-23,0.6449048353226803
2019-09-24,0.6455414319299525
2019-09-25,0.6438148313663652
2019-09-26,0.6441950916854754
2019-09-27,0.6458445192819668
2019-09-30,0.6492327892410258
2019-10-01,0.64745314208653
2019-10-02,0.6466368594378812
2019-10-03,0.6494083414951517
2019-10-04,0.6522891298365967
2019-10-07,0.6535961175966436
2019-10-08,0.6534054676732323
2019-10-09,0.6521783528193811
2019-10-10,0.6496276676225281
2019-10-11,0.6489647496732198
2019-10-14,0.6487397936477867
2019-10-15,0.6467520339151581
2019-10-16,0.6470563185013104
2019-10-17,0.6467857294630996
2019-10-18,0.6478818810910212
2019-10-21,0.6457641136949607
2019-10-22,0.6462222718038352
2019-10-23,0.6462940951609509
2019-10-24,0.6465616395329489
2019-10-25,0.6469062597277617
2019-10-28,0.646165298706917
2019-10-29,0.6469109779479776
2019-10-30,0.647275503693327
2019-10-31,0.6430529580202923
2019-11-01,0.6424266075542219
2019-11-04,0.6410226221361578
2019-11-05,0.6413068600688702
2019-11-06,0.6412145074746322
2019-11-07,0.64020496868893
2019-11-08,0.6339409669406271
2019-11-11,0.6339908220225186
2019-11-12,0.6320704916206932
2019-11-13,0.6328225024895847
2019-11-14,0.6311920692343801
2019-11-15,0.6273213569419779
2019-11-18,0.6271945806667028
2019-11-19,0.6269687079917141
2019-11-20,0.6277688566269987
2019-11-21,0.6286191659054161
2019-11-22,0.6305038815847799
2019-11-25,0.6310725953841169
2019-11-26,0.6307380991094487
2019-11-27,0.6337267835268382
2019-11-29,0.6325109606761034
2019-12-02,0.6355117599098337
2019-12-03,0.63272143322507
2019-12-04,0.6300444272370478
2019-12-05,0.623529148985041
