Date,Portfolio Value
2021-07-22,18067.67144073082
2021-07-23,18175.48458734999
2021-07-26,18182.54195119672
2021-07-27,18131.128455870552
2021-07-28,18158.440023864972
2021-07-29,18198.268663059513
2021-07-30,18137.231152739696
2021-08-02,18152.569299667026
2021-08-03,18245.29271905389
2021-08-04,18225.235841716654
2021-08-05,18280.30299691278
2021-08-06,18161.6089195767
2021-08-09,18120.52732928448
2021-08-10,18085.5020274751
2021-08-11,18116.868137468347
2021-08-12,18152.682715755076
2021-08-13,18268.36609320703
2021-08-16,18305.915664848842
2021-08-17,18205.332138246125
2021-08-18,18086.712209384677
2021-08-19,18145.468450270877
2021-08-20,18263.001312759367
2021-08-23,18429.02221832509
2021-08-24,18428.073644560885
2021-08-25,18406.491615813495
2021-08-26,18340.2489181603
2021-08-27,18511.840172474393
2021-08-30,18607.250740849708
2021-08-31,18570.081486455016
2021-09-01,18589.592912539974
2021-09-02,18621.134008454017
2021-09-03,18622.550786531785
2021-09-07,18535.935656617712
2021-09-08,18528.137089481792
2021-09-09,18530.328314796443
2021-09-10,18387.648431160913
2021-09-13,18431.12570808793
2021-09-14,18432.177159726474
2021-09-15,18511.130730675657
2021-09-16,18444.33383516321
2021-09-17,18286.298575220582
2021-09-20,18109.399768597825
2021-09-21,18118.203455196344
2021-09-22,18254.514336014654
2021-09-23,18290.184500942338
2021-09-24,18269.28496835271
2021-09-27,18195.000155958478
2021-09-28,17819.51102392407
2021-09-29,17820.897187067298
2021-09-30,17745.673744156084
2021-10-01,17896.914728910262
2021-10-04,17691.160501606777
2021-10-05,17794.029356672076
2021-10-06,17882.650578928526
2021-10-07,17946.887575114717
2021-10-08,17882.59200421266
2021-10-11,17777.205711866627
2021-10-12,17809.925474962223
2021-10-13,17944.679833084636
2021-10-14,18182.283332843665
2021-10-15,18221.955731440223
2021-10-18,18311.074096410033
2021-10-19,18364.516132009496
2021-10-20,18377.483031589174
2021-10-21,18424.294386875707
2021-10-22,18422.06695761047
2021-10-25,18525.27928172483
2021-10-26,18566.37725971202
2021-10-27,18618.83669282791
2021-10-28,18739.68255375906
2021-10-29,18778.057116674125
2021-11-01,18793.001374727522
2021-11-02,18859.612975913788
2021-11-03,18911.069740276685
2021-11-04,19080.640460388335
2021-11-05,19194.58444102225
2021-11-08,19193.0328077908
2021-11-09,19187.453291250204
2021-11-10,18991.782469797945
2021-11-11,19015.03910717072
2021-11-12,19119.364949797306
2021-11-15,19069.70033862739
2021-11-16,19117.13463483568
2021-11-17,19149.360878982716
2021-11-18,19243.15384416521
2021-11-19,19287.498343973286
2021-11-22,19110.11837104517
2021-11-23,19022.32865460529
2021-11-24,19120.281007444075
2021-11-26,18934.49336507189
2021-11-29,19117.628593137786
2021-11-30,18929.877055891568
2021-12-01,18780.063995577253
2021-12-02,18930.013915275118
2021-12-03,18826.47465028849
2021-12-06,18904.569547829014
2021-12-07,19207.933372808697
2021-12-08,19188.695143419332
2021-12-09,19061.909148527553
2021-12-10,19194.692810987388
2021-12-13,19105.06505813602
2021-12-14,18966.210095111463
2021-12-15,19186.105823067166
2021-12-16,18995.12433643174
2021-12-17,18924.808948639406
2021-12-20,18752.879151930287
2021-12-21,18996.934996824886
2021-12-22,19177.75615938649
2021-12-23,19239.90037693276
2021-12-27,19458.09207279238
2021-12-28,19400.867970940708
2021-12-29,19366.963069708752
2021-12-30,19374.56616547543
2021-12-31,19339.572880344567
2022-01-03,19308.93253692698
2022-01-04,19229.378601447755
2022-01-05,18877.795871084774
2022-01-06,18853.382611718425
2022-01-07,18743.77489552474
2022-01-10,18753.06773981418
2022-01-11,18953.511580411596
2022-01-12,18987.042980181177
2022-01-13,18767.17510265037
2022-01-14,18743.163329450246
2022-01-18,18414.558606272993
2022-01-19,18332.13865952451
2022-01-20,18197.57642415966
2022-01-21,17940.702984179403
2022-01-24,17976.195613712072
2022-01-25,17763.337298030125
2022-01-26,17665.48885929739
2022-01-27,17619.32062339439
2022-01-28,17956.139040064754
2022-01-31,18249.83838282735
2022-02-01,18325.813657590505
2022-02-02,18460.75231887034
2022-02-03,18031.19717766778
2022-02-04,18082.968538045407
2022-02-07,18031.842834855128
2022-02-08,18133.36458405882
2022-02-09,18367.791955423927
2022-02-10,18045.727772887643
2022-02-11,17819.561447081804
2022-02-14,17768.07902053176
2022-02-15,17958.008838791044
2022-02-16,18004.452661757154
2022-02-17,17741.349489668246
2022-02-18,17670.746712707198
2022-02-22,17554.54423345991
2022-02-23,17254.614926527942
2022-02-24,17523.571474499677
2022-02-25,17756.475536298003
2022-02-28,17850.417335411803
2022-03-01,17733.37482882801
2022-03-02,17813.445683224363
2022-03-03,17748.5235417015
2022-03-04,17703.235658253598
2022-03-07,17297.909628996804
2022-03-08,17233.852027664965
2022-03-09,17519.808967571593
2022-03-10,17384.9251846663
2022-03-11,17187.762077935295
2022-03-14,16932.320267499494
2022-03-15,17203.00838779925
2022-03-16,17591.509524007033
2022-03-17,17725.811953265715
2022-03-18,17940.027722773488
2022-03-21,17853.58698994526
2022-03-22,17983.722266730343
2022-03-23,17916.93555603037
2022-03-24,18129.377746074315
2022-03-25,18102.530196657215
2022-03-28,18236.066432865704
2022-03-29,18448.81313845476
2022-03-30,18385.731287955874
2022-03-31,18213.81443007301
2022-04-01,18226.33629685878
2022-04-04,18384.86739248691
2022-04-05,18074.921864777054
2022-04-06,17859.871803146085
2022-04-07,17888.46356003321
2022-04-08,17766.770499853108
2022-04-11,17471.786677984775
2022-04-12,17432.339423474605
2022-04-13,17633.94253263125
2022-04-14,17348.620689576765
2022-04-18,17343.604335722826
2022-04-19,17519.693766860015
2022-04-20,17516.93937409941
2022-04-21,17271.277352404795
2022-04-22,16907.501226993867
2022-04-25,17015.30217212343
2022-04-26,16662.370929746074
2022-04-27,16619.789509038186
2022-04-28,16978.714342056443
2022-04-29,16454.28011243711
2022-05-02,16488.763896636912
2022-05-03,16550.878907345395
2022-05-04,16954.870896314926
2022-05-05,16358.276668648528
2022-05-06,16214.924847135084
2022-05-09,15821.981674651608
2022-05-10,15909.60932419797
2022-05-11,15741.272439357661
2022-05-12,15693.522088724763
2022-05-13,15958.964387262267
2022-05-16,15889.483339038941
2022-05-17,16095.315938364014
2022-05-18,15668.22329043092
2022-05-19,15635.188695751858
2022-05-20,15659.92299247135
2022-05-23,15810.985153981785
2022-05-24,15736.146013256104
2022-05-25,15860.779918903076
2022-05-26,16102.09895972751
2022-05-27,16426.58701762738
2022-05-31,16290.869069885151
2022-06-01,16208.668601510668
2022-06-02,16486.926819294145
2022-06-03,16226.178432517949
2022-06-06,16195.153824521058
2022-06-07,16344.739076984053
2022-06-08,16207.894217993355
2022-06-09,15929.107818675497
2022-06-10,15577.415465760121
2022-06-13,14984.642910360499
2022-06-14,14924.948275061626
2022-06-15,15197.036979458691
2022-06-16,14853.126392888898
2022-06-17,14917.476375474193
2022-06-21,15124.443421632826
2022-06-22,15196.070324972834
2022-06-23,15339.202621098415
2022-06-24,15647.951442276071
2022-06-27,15561.188024203186
2022-06-28,15303.710012338177
2022-06-29,15349.535525186244
2022-06-30,15260.170854284182
2022-07-01,15385.015568195517
2022-07-05,15467.198619968902
2022-07-06,15441.39973425549
2022-07-07,15606.717631189169
2022-07-08,15573.555061491705
2022-07-11,15447.941104850015
2022-07-12,15360.983910305045
2022-07-13,15361.798099811323
2022-07-14,15316.685702935276
2022-07-15,15531.250371514749
2022-07-18,15409.626679194203
2022-07-19,15705.39194790562
2022-07-20,15813.616113308217
2022-07-21,16023.08474562964
2022-07-22,15937.198846136467
2022-07-25,15882.16003449052
2022-07-26,15713.93089097419
2022-07-27,16074.713051799921
2022-07-28,16247.692315437826
2022-07-29,16427.072681004644
2022-08-01,16493.079881239897
2022-08-02,16355.210847491293
2022-08-03,16646.764837505852
2022-08-04,16692.037918752547
2022-08-05,16541.6079176362
2022-08-08,16585.30077376354
2022-08-09,16494.81862642874
2022-08-10,16745.82707839963
2022-08-11,16634.825786193465
2022-08-12,16893.676071400914
2022-08-15,16937.817279689374
2022-08-16,16950.310820067996
2022-08-17,16797.83769689557
2022-08-18,16830.06822757158
2022-08-19,16574.6406111063
2022-08-22,16283.534679209748
2022-08-23,16257.198626787935
2022-08-24,16273.143823614204
2022-08-25,16501.70274596626
2022-08-26,16080.186148160945
2022-08-29,15964.498178367428
2022-08-30,15835.67978022144
2022-08-31,15717.348332534422
2022-09-01,15667.75708002353
2022-09-02,15566.788592146138
2022-09-06,15423.549377375912
2022-09-07,15692.324233736104
2022-09-08,15716.146696601036
2022-09-09,15932.169639309042
2022-09-12,16039.364606349809
2022-09-13,15483.124272332583
2022-09-14,15548.28981009882
2022-09-15,15368.942108229743
2022-09-16,15276.75557836659
2022-09-19,15368.143818984083
2022-09-20,15221.416945911062
2022-09-21,15091.512339708106
2022-09-22,14907.097180380106
2022-09-23,14720.801007517319
2022-09-26,14570.885461308992
2022-09-27,14484.014568917897
2022-09-28,14811.54469181479
2022-09-29,14544.071166822316
2022-09-30,14342.662657807961
2022-10-03,14675.519344386661
2022-10-04,15008.671428798873
2022-10-05,14955.287766560803
2022-10-06,14839.943578497883
2022-10-07,14459.646786704654
2022-10-10,14305.181330360776
2022-10-11,14219.70386486884
2022-10-12,14221.041442844407
2022-10-13,14434.165874302098
2022-10-14,14130.634176645413
2022-10-17,14406.167188401398
2022-10-18,14517.907220428911
2022-10-19,14388.556391090537
2022-10-20,14266.807262252822
2022-10-21,14479.853914186227
2022-10-24,14569.887380504795
2022-10-25,14841.522141539524
2022-10-26,14750.621463249257
2022-10-27,14667.154544574718
2022-10-28,14906.237244035021
2022-10-31,14777.754486437016
2022-11-01,14749.29075704278
2022-11-02,14426.472029340504
2022-11-03,14261.446122564905
2022-11-04,14408.229490476198
2022-11-07,14476.42430423269
2022-11-08,14604.412222518935
2022-11-09,14385.230141385644
2022-11-10,15174.366379336832
2022-11-11,15315.898241721177
2022-11-14,15219.413403839328
2022-11-15,15389.122184119664
2022-11-16,15342.921413571752
2022-11-17,15270.452383233682
2022-11-18,15266.815475267143
2022-11-21,15201.830237553706
2022-11-22,15394.274065091153
2022-11-23,15542.72846352009
2022-11-25,15501.458529329302
2022-11-28,15330.765117611707
2022-11-29,15257.040632370496
2022-11-30,15699.873972832333
2022-12-01,15830.20760069504
2022-12-02,15838.327577898055
2022-12-05,15573.068911884313
2022-12-06,15430.85054282938
2022-12-07,15488.117128005912
2022-12-08,15584.453875607167
2022-12-09,15432.514431338304
2022-12-12,15576.741972557944
2022-12-13,15730.82941828764
2022-12-14,15665.224056126179
2022-12-15,15340.746106891274
2022-12-16,15203.506784626965
2022-12-19,15032.455713648878
2022-12-20,15008.732429026019
2022-12-21,15168.875121120982
2022-12-22,14952.064485983501
2022-12-23,14957.200045859676
2022-12-27,14823.626164629075
2022-12-28,14667.072865930446
2022-12-29,14921.440442274734
2022-12-30,14876.81500008123
2023-01-03,14890.82711470535
2023-01-04,15012.907947088459
2023-01-05,14867.722601919326
2023-01-06,15209.730871373407
2023-01-09,15255.429612900472
2023-01-10,15292.074785897134
2023-01-11,15497.460514453107
2023-01-12,15624.087774529975
2023-01-13,15670.046386235654
2023-01-17,15637.588263504067
2023-01-18,15549.139701269474
2023-01-19,15463.243506210318
2023-01-20,15650.128482956054
2023-01-23,15817.778155717804
2023-01-24,15852.515664486486
2023-01-25,15859.324892406512
2023-01-26,15992.691174724245
2023-01-27,16044.847988457102
2023-01-30,15851.156656017525
2023-01-31,16046.755497082908
2023-02-01,16276.706070905977
2023-02-02,16517.167627215465
2023-02-03,16268.250276127623
2023-02-06,16166.484987434222
2023-02-07,16327.081255487457
2023-02-08,16188.15099979906
2023-02-09,16045.612605271137
2023-02-10,15996.151093630699
